"Al-Qahtani, Mohammed S.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/23/output-onlinejpgtools%20(45).jpg
"Al-Quaity, Awad",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/86/output-onlinejpgtools%20(46).jpg
"Al-Saeed, Ali",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/43/output-onlinejpgtools%20(47).jpg
"Al-Solihat, Mohammed Khair",http://www.kfupm.edu.sa/dept_siteassets/images/staff.png
"Alzahrani, Atif Saeed",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/89/Atef.jpg
"Alzahrani, Fahad",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/90/output-onlinejpgtools%20(74).jpg
"Alzaydi, Ammar",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/76/output-onlinejpgtools%20(48).jpg
Bashmal Salem,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/44/output-onlinejpgtools%20(49).jpg
"Bazoune, Abdelaziz",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/45/output-onlinejpgtools%20(50).jpg
Bilal Qureshi,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/25/output-onlinejpgtools%20(51).jpg
Bin Mansoor Saad,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/24/output-onlinejpgtools%20(52).jpg
Kamal Muhammad Mustafa,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/74/Kamal.jpg
Mahmoud Khater​,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/46/output-onlinejpgtools%20(53).jpg
Morsi M. Mahmoud​,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/62/output-onlinejpgtools%20(54).jpg
Munteshari Obaidallah,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/85/Obaid1.jpg
Nizar Jaber,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/88/output-onlinejpgtools%20(72).jpg
"Shaukat, Mia​n Mobeen",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/49/output-onlinejpgtools%20(57).jpg
"Sorour , Ahmad",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/63/output-onlinejpgtools%20(56).jpg
Turki Nabieh Baroud,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/79/output-onlinejpgtools%20(59).jpg
Usman Ali,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/87/output-onlinejpgtools%20(80).jpg
Wail Sulaiman Falath,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/65/output-onlinejpgtools%20(60).jpg
"Zahoor, Mudasar",http://www.kfupm.edu.sa/dept_siteassets/images/staff.png
"Mahmood, Muzafferuddin",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/26/output-onlinejpgtools%20(61).jpg
